film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_lineal,nota_gemini,nota_lineal_entrenamiento,nota_lineal_cv,error_lineal_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
amelie,291,True,0.38866492413990134,0.480337585974295,0.3760972419055673,0.4863895432432619,0.488075999858251,0.32321713414347575,0.5818589988209165,0.4455598458860431,0.3103509189632154,0.5776842976855355,0.5597746552041843,0.5015304192243015,7.915582,3.1771913,7.4070954,4.32438,6.2398725,0.2458677830081883,1.4888093741308337,5.2314468369779865,4.352885005715086,2.0036292553436033,0.0,0.18274681,0.0,0.005240442,0.022128087,8.408157803067413,4.5,8.408157803067413,8.644758629714335,4.144758629714335,8.604787068136464,4.1047870681364635,7.641124517727041
anne-of-green-gables,235,True,0.3254703705428511,0.4457792115025587,0.2983693639082387,0.46194675028890164,0.4899037080289052,0.27246029329814253,0.5357213431216837,0.35244795769033016,0.22871139341184618,0.4542141698856917,0.4548025725278203,0.405538317820171,9.079323,8.04687,9.434542,7.717804,5.3907704,0.11720601788618562,0.7588172733818479,1.819116588957,2.025654699759662,0.5888178494508091,0.021753922,0.12786666,0.0,0.0076916036,0.048320074,9.39449516185122,9.8,9.39449516185122,11.082824287579282,1.282824287579281,8.29761300489272,-1.5023869951072815,8.954964360406494
another-round,362,False,0.39344480778934154,0.5827689255476964,0.3807624863444744,0.39993867699064933,0.6028460929708188,0.28874895798337696,0.5812499668352591,0.4109706569332071,0.35001857857229113,0.5701183321225044,0.47268115731033533,0.5952233702329428,7.027393,5.669523,7.3158064,7.545412,7.3689275,0.36969822496366267,2.3780229612482064,1.8265381646975256,0.7691550223047119,3.492341647260493,0.14381474,0.30888528,0.0,0.003317222,0.10430648,8.082813761906195,,,,,,,8.376615604349917
arrival,341,True,0.3656300963720011,0.5510115353349743,0.399013538570773,0.45079192390401074,0.6334531349392555,0.2990433957272392,0.6445992545360959,0.42757166323218043,0.39496875326371916,0.6425314365467325,0.4836606221506431,0.5628195336421628,7.3550143,7.265726,7.6346235,7.421374,7.7449236,0.18870478694484183,1.3771216112979108,2.8318636683486673,1.12389835249264,2.0278471067310617,0.09817112,0.22988541,0.0,0.0023927987,0.099071294,9.022250600082051,8.8,9.022250600082051,8.85666122300773,0.05666122300772969,8.556995619465534,-0.24300438053446705,8.777859574044054
barry-lyndon,445,True,0.2951351158684808,0.5549442765890014,0.35534210441300296,0.4532195585463328,0.5303690571180909,0.24374241642486688,0.5687429932405788,0.3682889787706476,0.3449066189411456,0.5533546811616509,0.5139203633916831,0.5603716769988023,5.301485,8.442412,4.1205087,6.2265286,7.491452,0.6719707203016005,3.331187912538139,4.935012099698042,3.701532579209761,0.3327578809785049,0.17708126,0.35114917,0.0,0.010044185,0.063948385,8.096376345856635,6.5,8.096376345856635,8.048649703362264,1.5486497033622637,8.121119039284752,1.6211190392847517,8.023988340687817
beauty-and-the-beast,353,True,0.3659145855914117,0.4683883399953256,0.34213738675271,0.47857067955769994,0.45822604467851025,0.270666043464736,0.48517905850056,0.32263582874093366,0.23500398129832165,0.4538070968224118,0.523585637320675,0.42857037598475956,7.3169255,3.194459,6.156389,3.699398,3.5172966,0.2795761451149823,2.0117526417290184,6.760301183275834,4.975888086729629,0.3880467089262072,0.04256045,0.45037448,0.0,0.014863193,0.037245363,7.486067073567936,6.0,7.486067073567936,7.934498824482469,1.9344988244824686,7.449841062443276,1.4498410624432756,6.745014437159291
before-midnight,391,False,0.334688319765796,0.5055880214619997,0.3286046008716894,0.3531220920710725,0.5243299074752006,0.317838686118722,0.5785519499892405,0.458592686843486,0.32697392608306086,0.525236926938591,0.5207552889292302,0.5347312290924637,7.7604814,7.677268,8.215366,6.96905,5.8346148,0.34713589689818064,1.5130266230302776,1.2338020355412964,0.9043380318409139,0.28650754883057516,0.08161467,0.1771155,0.0,0.00641891,0.050480537,8.949784053176609,,,,,,,8.607458108105286
before-sunrise,236,False,0.36362818415663634,0.49482447874206337,0.3963480932527912,0.4178530523284713,0.5164723139550519,0.2885056018880938,0.6136787159161184,0.46033281607886134,0.3391650242819376,0.5552673318527029,0.541063920317603,0.507433555075153,7.728788,6.938411,8.672515,6.4018517,6.3019013,0.36635303003500397,1.5711704835513634,2.304140036646035,1.5267155306818418,1.164962590665314,0.0215334,0.11457488,0.0,0.0,0.042758927,8.38920183260362,,,,,,,8.58236256758012
before-sunset,312,True,0.3022702073305312,0.44803431279463185,0.3685271434359993,0.38551714159697786,0.48957964827265,0.2801113745044226,0.6016025087220097,0.4441053507002287,0.2994113701886112,0.5292511390104286,0.5186092331178345,0.5039339291268445,7.865222,8.233084,9.255339,6.7441688,5.9493613,0.23951763883020835,0.48098323431552825,1.753603259627702,1.2209879776837465,0.0,0.010757029,0.07368302,0.0,0.0,0.030358657,8.826839079014915,8.5,8.826839079014915,8.525743686986846,0.02574368698684637,9.110441432647471,0.6104414326474714,8.835763834286553
bicycle-thieves,564,True,0.32341912784999993,0.5962339976346139,0.3043871748727636,0.424210423424434,0.5314678264908234,0.29987772810618396,0.580706148076884,0.4583507248623091,0.39243141146758237,0.5728885271530177,0.5191267022711954,0.6312828054643549,5.9611716,7.7580395,8.946883,9.292638,7.9236593,0.3261622326735536,2.6332236280360135,0.8855791254505174,0.44511586545827186,0.33757664238061735,0.20876142,0.3289098,0.0,0.0039258674,0.054018624,9.23080251241601,9.8,9.23080251241601,8.340296614312777,-1.4597033856872237,8.596409509287763,-1.2035904907122372,9.242085647036914
blade-runner,908,True,0.3400672375725217,0.5562447455148344,0.3663177832711061,0.4611441807019536,0.5953803188148695,0.26796242288974675,0.5997638185805069,0.4041950211529378,0.39027407582727536,0.6088927177048142,0.5056498920588937,0.5900796838470752,6.309603,8.439392,6.4419274,7.2791796,8.41626,0.27968679342823327,2.002677216854854,3.3142253820423657,2.157449183575442,1.1389391600360192,0.16330835,0.27110207,0.0,0.0025616582,0.10615824,8.820435275130802,8.5,8.820435275130802,8.602986824605448,0.10298682460544839,8.62513286533629,0.12513286533629042,8.797102349368648
