film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_lineal,nota_gemini,nota_lineal_entrenamiento,nota_lineal_cv,error_lineal_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
alien,328,False,0.8559833954060518,0.8807817241782294,0.8878661086370454,0.8688206074046148,0.8894301989676578,0.8639606572204049,0.8825060624866655,0.8682233224783359,0.8764501690309263,0.8721072502900686,0.8826404771689634,0.890958773506466,6.8636456,6.8314824,5.9395685,6.500762,8.337199,0.2990355885276279,2.1186848951163504,3.684297108567145,1.7990587546824084,2.2180753911330187,0.21670881,0.19868842,0.0,0.009635345,0.166509,7.70553234106313,,,,,,,8.419417474129647
all-we-imagine-as-light,329,True,0.8603138693237837,0.8789551957063618,0.8837528205144882,0.8771317069579756,0.882415299715276,0.877236259048068,0.8893108474185364,0.8715131413075428,0.8828192532952526,0.8738823216568905,0.8904205967729144,0.894520758751766,9.198183,9.969067,9.024423,9.340311,7.5162997,0.06253342275365437,0.0,0.466501857157013,1.2705819305794466,0.0,0.0002629608,0.0,0.0,0.016425803,0.0,10.026250970032725,10.0,10.026250970032725,10.005961620296734,0.0059616202967340826,9.394073230034444,-0.6059267699655564,9.741606130025879
amelie,291,True,0.8622786888729075,0.8823946793626501,0.8894040337590025,0.8783004284164542,0.8852999409329044,0.8736718703249859,0.8861455061826617,0.8799678936249975,0.880422120853513,0.8737692057825928,0.8926044720957507,0.8924517088211827,7.5378585,1.2010431,7.502971,4.4492483,6.0441217,0.2258925535451334,1.6441105351049012,5.7689339388917364,4.6648763074812365,4.360367360440961,0.0,0.13206722,0.0,0.00317246,0.028449232,8.134921766438207,4.5,8.134921766438207,8.88559145079862,4.38559145079862,8.403904973824572,3.903904973824572,7.245138661787303
anne-of-green-gables,235,True,0.8619073052907286,0.8840461103447699,0.8812353351744666,0.8773353306920231,0.8849665583600095,0.8734715930164125,0.8855022008433242,0.8783410361836834,0.8814144774338979,0.862301765327979,0.8798863957878871,0.885457676050948,9.3232765,8.773103,9.477291,8.0367,5.2283316,0.23449621897103518,0.4462151483449619,1.5310057630328693,1.8412712503353914,0.0,0.043562353,0.102072895,0.0,0.0039869286,0.041643005,9.123974364722903,9.8,9.123974364722903,9.18076254985644,-0.6192374501435616,8.091852697435183,-1.708147302564818,9.083107626337924
another-round,362,False,0.859396822485134,0.8846794632830064,0.8842013500289367,0.86774296453429,0.8868064360819234,0.8639424032456475,0.8822496491754124,0.8713980232706449,0.8823108354501374,0.8659163587990988,0.880129144895566,0.8950900492285798,7.143059,5.9446225,8.1468315,7.9105854,7.75443,0.20857115166889062,3.407150318444403,1.8378268254500336,0.0,2.5620312982417763,0.13160911,0.42434055,0.0,0.0027797539,0.1284013,8.88960801074147,,,,,,,8.687860610786993
arrival,341,True,0.8635167567874329,0.8879927695616583,0.8921387297250405,0.8736069528956469,0.8954732138695456,0.8741309109050994,0.8960585082658783,0.8785369932005849,0.8850798023471294,0.8812156744355382,0.8862070750328874,0.8972408885313092,7.7558975,7.1570187,7.5785522,7.2192874,7.4490037,0.20508409322314153,1.384161138401742,3.851171723634482,2.641297262665696,0.8630044179466421,0.080800384,0.097474754,0.0,0.004820561,0.120019436,8.993278373347946,8.8,8.993278373347946,8.949448001859809,0.1494480018598079,8.412092348631642,-0.3879076513683586,8.785154494236064
barry-lyndon,445,True,0.8615243689553544,0.8809051396111748,0.8782288822454932,0.8740454395913468,0.886693687597321,0.8567284050210677,0.8794515990740601,0.865185083236238,0.8792099116830591,0.8764252957818253,0.8823422602020325,0.8912626290497765,5.228449,8.955219,4.501133,6.487375,8.005079,1.500882057380373,3.67410466162388,5.366355606709982,4.845627124210857,0.15435129509216772,0.1801847,0.15074322,0.0,0.015514517,0.0139196925,8.225938729764769,6.5,8.225938729764769,9.260523931124649,2.7605239311246486,8.53429139219064,2.0342913921906405,8.186304472053164
beauty-and-the-beast,353,True,0.8538894596446696,0.8761614370025412,0.8750733110440845,0.8725525628754642,0.8769330107289296,0.8566982298426409,0.8693825624154317,0.8613912318592682,0.8693005963767259,0.8588441962877704,0.884525233335798,0.884437361553448,7.2974186,2.3902044,6.259529,4.221385,3.502413,0.1970688595438288,3.4194004485057365,5.871810344330647,4.652864100123844,0.02160933282089128,0.051160872,0.72594774,0.0,0.0102153495,0.0,6.9838151859052,6.0,6.9838151859052,7.061753142092041,1.0617531420920407,8.281565101733719,2.281565101733719,6.831878651950883
before-midnight,391,False,0.8613453884373444,0.8863291696091302,0.8781954476136693,0.8703945548332503,0.8809559941920406,0.8661815972348879,0.88149109232872,0.8751714767580046,0.8766243157468474,0.8645841782327521,0.8862123066777468,0.8884775699679559,8.185895,7.55373,8.046534,6.894317,6.325123,0.2900433610712944,3.2247081666070687,0.9768504777131477,1.5597620790027387,1.0757318542122407,0.101582505,0.24284227,0.0,0.0051567373,0.069385044,8.917483672929531,,,,,,,8.63772768451128
before-sunrise,236,False,0.8638113096755173,0.8862500139799505,0.8860346096347447,0.8772278557893056,0.8831463577572309,0.8674693007242102,0.8903120700362219,0.8802000506275555,0.8814486481570147,0.8703051220212064,0.8908089620563531,0.889279297035624,7.644265,7.2798977,8.323859,6.373843,6.329826,0.13635827163587994,1.9747984476744223,2.5210335136925925,2.0627888595573176,0.5999133143387871,0.0067435056,0.0623917,0.0,0.0,0.05269024,8.408219739444574,,,,,,,8.5815922566655
